Type,Time(ms),Memory(MB)
RGB,213,38.682090759277344
RGB,219,41.71819305419922
RGB,213,43.003929138183594
RGB,213,46.04003143310547
RGB,208,47.325767517089844
RGB,202,50.36186981201172
RGB,202,51.647605895996094
RGB,202,54.68370819091797
RGB,203,55.969444274902344
RGB,203,58.032081604003906
RGB,202,60.15723419189453
RGB,204,62.98493957519531
RGB,203,65.145751953125
RGB,201,67.30656433105469
RGB,202,69.46737670898438
RGB,202,71.62818908691406
RGB,201,73.78900146484375
RGB,219,75.94981384277344
RGB,203,78.11062622070312
RGB,202,80.27143859863281
RGB,202,82.4322509765625
RGB,207,84.59306335449219
RGB,201,23.001808166503906
RGB,201,26.58544158935547
RGB,216,27.64801788330078
RGB,202,29.821304321289062
RGB,202,31.994590759277344
RGB,218,34.355377197265625
RGB,202,36.355499267578125
RGB,203,38.48065185546875
RGB,206,41.65399932861328
RGB,234,43.889801025390625
RGB,209,44.95237731933594
RGB,203,47.12566375732422
RGB,202,49.2989501953125
RGB,202,51.65973663330078
RGB,201,50.41639709472656
RGB,202,52.54154968261719
RGB,202,54.71483612060547
RGB,204,57.07562255859375
RGB,202,59.07574462890625
RGB,202,61.200897216796875
RGB,204,64.3742446899414
RGB,202,65.73497009277344
RGB,201,67.73509216308594
RGB,203,69.86024475097656
RGB,203,73.0335922241211
RGB,203,75.26939392089844
RGB,202,76.33197021484375
RGB,202,78.50525665283203
RGB,203,80.67854309082031
RGB,203,83.0393295288086
RGB,203,85.0394515991211
RGB,202,19.73560333251953
RGB,202,21.91272735595703
RGB,209,24.037879943847656
RGB,202,26.215003967285156
RGB,204,28.392127990722656
RGB,202,30.51728057861328
RGB,209,32.69440460205078
RGB,201,34.87152862548828
RGB,202,36.996681213378906
RGB,203,39.173805236816406
RGB,204,41.53411102294922
RGB,201,43.659263610839844
RGB,201,45.836387634277344
RGB,200,48.013511657714844
RGB,204,50.13866424560547
RGB,204,52.31578826904297
RGB,202,54.49291229248047
RGB,202,56.618064880371094
RGB,203,58.795188903808594
RGB,203,60.972312927246094
